query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,40,0.015447139739990234,-0.00022284190345089883,0.00039278072654269636,3,1
1,40,0.013538837432861328,-0.00017078717064578086,0.000341471895808354,3,1
2,40,0.033831119537353516,-6.930033123353496e-05,0.0009023549500852823,3,1
3,40,0.013334274291992188,-0.0002384185791015625,0.0003384584269952029,3,1
4,40,0.013335466384887695,-0.0003703435359057039,7.141595415305346e-05,3,1
5,40,0.020050525665283203,-9.083747863769531e-05,0.000466476718429476,3,1
6,40,0.013782024383544922,-0.0001140435560955666,0.0003444553876761347,3,1
7,40,0.0193784236907959,4.9432117521064356e-05,0.0006932632531970739,3,1
8,40,0.013071298599243164,-0.0001575946807861328,0.00035480145015753806,3,1
9,40,0.013681173324584961,5.880991739104502e-05,0.0005252365372143686,3,1
10,40,0.02034449577331543,-0.00048526129103265703,0.00024131874670274556,3,1
11,40,0.05752420425415039,-0.0002315839083166793,0.0005409269360825419,3,1
12,40,0.0464940071105957,0.002433220623061061,0.0038284126203507185,3,1
13,40,0.010674238204956055,-0.00013319651770871133,0.0003494379052426666,3,1
14,40,0.003689289093017578,0.0003705024719238281,0.0006685954285785556,3,1
15,40,0.007050514221191406,-0.00036875405930913985,0.00034537375904619694,3,1
16,40,0.004007577896118164,-6.937980651855469e-05,0.00019808969227597117,3,1
17,40,0.11846208572387695,0.00019701321434695274,0.0014302798081189394,3,1
18,40,0.005433797836303711,0.00020496051001828164,0.0001158864761237055,3,1
19,40,0.0007932186126708984,0.00016768772911746055,0.00022404108312912285,3,1
