query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,40,0.013303518295288086,-0.0001925627439050004,0.0001272988592972979,3,1
1,40,0.009781837463378906,7.367134094238281e-05,0.0010701522696763277,3,1
2,40,0.006236553192138672,-0.00020615260291378945,0.0002782914089038968,3,1
3,40,0.017943620681762695,0.00033370652818121016,0.0002397202915744856,3,1
4,40,0.010797262191772461,-0.00012222926307003945,0.0004232312203384936,3,1
5,40,0.009634733200073242,-0.0003641446528490633,0.00034629940637387335,3,1
6,40,0.007838964462280273,-0.00026035308837890625,0.00044806653750129044,3,1
7,40,0.006206989288330078,-0.00018159548926632851,0.00044886895921081305,3,1
8,40,0.006458759307861328,0.0001238981931237504,0.0003179904306307435,3,1
9,40,0.012757301330566406,0.00014472007751464844,0.00036821485264226794,3,1
10,40,0.008761882781982422,-7.526079571107402e-05,0.00037868026993237436,3,1
11,40,0.009495735168457031,-2.2570291548618115e-05,0.00043339779949747026,3,1
12,40,0.03108072280883789,-0.00012461344886105508,0.0003361205162946135,3,1
13,40,0.0070879459381103516,-1.6530355424038135e-05,0.00046030725934542716,3,1
14,40,0.015244722366333008,-0.0001091162339434959,0.0005423050606623292,3,1
15,40,0.02918720245361328,-6.127357482910156e-05,0.00012808736937586218,3,1
16,40,0.008457660675048828,-6.683667743345723e-05,0.00017860055959317833,3,1
17,40,0.009433507919311523,8.606910705566406e-05,0.00012588569370564073,3,1
18,40,0.009207010269165039,-0.00011181831359863281,0.00010554675100138411,3,1
19,40,0.01140451431274414,-0.00015234947204589844,0.0005646267090924084,3,1
