query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,40,0.011089086532592773,-0.0002231597900390625,0.0003922930627595633,3,1
1,40,0.009185552597045898,-0.0001709461212158203,0.0003419583954382688,3,1
2,40,0.031584978103637695,-6.985664367675781e-05,0.0009023367892950773,3,1
3,40,0.009079217910766602,-0.0002384980471106246,0.0003383127332199365,3,1
4,40,0.00878453254699707,-0.00037248930311761796,7.14815832907334e-05,3,1
5,40,0.011567831039428711,-9.083747863769531e-05,0.00046652264427393675,3,1
6,40,0.002237558364868164,-0.00011388460552552715,0.00034387054620310664,3,1
7,40,0.0040242671966552734,4.967053610016592e-05,0.0006934282137081027,3,1
8,40,0.01175546646118164,-0.00015687942504882812,0.0003545766812749207,3,1
9,40,0.0036172866821289062,6.016095358063467e-05,0.000525181123521179,3,1
10,40,0.013552427291870117,-0.000484466552734375,0.00024075849796645343,3,1
11,40,0.04238748550415039,-0.0002319812774658203,0.0005431430763565004,3,1
12,40,0.05057477951049805,0.0024324257392436266,0.0038282095920294523,3,1
13,40,0.005722522735595703,-0.00013319651770871133,0.0003488774527795613,3,1
14,40,-0.0025794506072998047,0.0003705024719238281,0.0006690280279144645,3,4
15,40,0.003732919692993164,-0.0003681182861328125,0.00034498798777349293,3,1
16,40,0.0010800361633300781,-6.937980651855469e-05,0.00019808969227597117,3,1
17,40,-0.0007696151733398438,0.0001975695340661332,0.0014304171781986952,3,4
18,40,0.0012617111206054688,0.00020511944603640586,0.00011655629350570962,3,1
19,40,-0.0013608932495117188,0.00016824404883664101,0.00022423344489652663,3,4
