query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,40,0.027512788772583008,-0.0002231597900390625,0.0003922930627595633,3,1
1,40,0.026706933975219727,-0.0001709461212158203,0.0003419583954382688,3,1
2,40,0.05122876167297363,-6.985664367675781e-05,0.0009026351035572588,3,1
3,40,0.04000282287597656,-0.0002383391110925004,0.00033842812990769744,3,1
4,40,0.029038429260253906,-0.00037248930311761796,7.14815832907334e-05,3,1
5,40,0.03951621055603027,-9.044011676451191e-05,0.0004667457833420485,3,1
6,40,0.030557632446289062,-0.00011388460552552715,0.00034387054620310664,3,1
7,40,0.04520678520202637,5.030632019042969e-05,0.0006932165706530213,3,1
8,40,0.029388427734375,-0.00015687942504882812,0.0003552263951860368,3,1
9,40,0.03261399269104004,6.008148193359375e-05,0.000525047944393009,3,1
10,40,0.03922104835510254,-0.0004841486515942961,0.00024020837736316025,3,1
11,40,0.0625767707824707,-0.00023182232689578086,0.0005434128688648343,3,1
12,40,0.054886817932128906,0.002432584762573242,0.003828039625659585,3,1
13,40,0.03022146224975586,-0.00013319651770871133,0.0003488774527795613,3,1
14,40,0.023304224014282227,0.00037082037306390703,0.0006684893742203712,3,1
15,40,0.04770064353942871,-0.0003679593501146883,0.00034472139668650925,3,1
16,40,0.020745277404785156,-6.922086322447285e-05,0.0001982439134735614,3,1
17,40,0.13189172744750977,0.0001975695340661332,0.0014304171781986952,3,1
18,40,0.022587299346923828,0.00020503997802734375,0.00011676743451971561,3,1
19,40,0.03775668144226074,0.0001679261476965621,0.00022404108312912285,3,1
