query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.9468255230331335,4.623083508261377e-50,0.9392893379988517,2.548668877920282e-47,100,3.4124388694763184
1,0.9527752775277527,1.592395766487331e-52,0.9640044736773838,3.475116512707892e-58,100,3.5449397563934326
2,0.9468706870687068,4.439385166581085e-50,0.9521343961520813,3.0353160465701733e-52,100,3.4617056846618652
3,0.9219081908190818,3.8048349349531636e-42,0.9261038798330092,2.815836442839526e-43,100,3.00049090385437
4,0.929084908490849,4.0261379818594095e-44,0.9521782405050053,2.905097676707025e-52,100,2.8379547595977783
5,0.9347494749474946,7.818569341003115e-46,0.9445719419244866,3.346503162025032e-49,100,3.3483221530914307
6,0.9414941494149414,4.3881406402335066e-48,0.9633604656588671,8.159127255318635e-58,100,3.339423418045044
7,0.9382658265826581,5.64046282764681e-47,0.9618792871640761,5.490092655548961e-57,100,3.3505876064300537
8,0.9123192319231922,8.769480377702463e-40,0.9352469210907587,5.438967199886163e-46,100,3.0590455532073975
9,0.9468466846684667,4.536103828192195e-50,0.933509600251012,1.9081851737292064e-45,100,3.28090763092041
10,0.9314099352275201,8.318893734106428e-45,0.9449166613343039,2.4856926201498472e-49,100,3.503180503845215
11,0.9534353435343534,8.117291962493459e-53,0.9603905068214685,3.462249435378737e-56,100,3.141050338745117
12,0.9660635045453159,2.0364120612241594e-59,0.9965548165567715,8.78767097568162e-108,100,3.33970046043396
13,0.8978364771611883,1.0994138820161297e-36,0.9056349497123238,2.7227776649230243e-38,100,3.8051536083221436
14,0.9477944662304826,1.921933988510775e-50,0.9577988780469276,7.262164757197402e-55,100,3.6386711597442627
15,0.9298889888988897,2.3481206554124435e-44,0.9400772837121569,1.3696250704871236e-47,100,3.5612800121307373
16,0.9532553255325533,9.76430379218788e-53,0.9626892518830089,1.9542498636018932e-57,100,3.921374797821045
17,0.9857665766576655,1.0518636111286934e-77,0.9912943502833631,4.138431786138934e-88,100,3.5918846130371094
18,0.9363576357635762,2.393486772897562e-46,0.9556191251766486,8.129224231057656e-54,100,2.9101107120513916
19,0.9483468346834683,1.15655054249477e-50,0.9456922551775586,1.264205548655e-49,100,2.503499746322632
