query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.8909899888765294,4.1600981493953806e-11,0.8725885441173229,3.2836375054074595e-10,30,3.412442207336426
1,0.9608453837597329,3.835332200394285e-17,0.9564904280900949,1.6343372728364232e-16,30,3.5449442863464355
2,0.9323692992213571,6.761154908116078e-14,0.9595853582709323,5.92931554558936e-17,30,3.461704730987549
3,0.9523915461624026,5.619668712783104e-16,0.9414860042135055,9.426474380489395e-15,30,3.0004889965057373
4,0.9497219132369298,1.1864440075318825e-15,0.9676020323146307,2.819534168956499e-18,30,2.837954044342041
5,0.9470522803114572,2.407737166262865e-15,0.9636517543803436,1.3776182870504065e-17,30,3.3483195304870605
6,0.9519466073414905,6.383705900097253e-16,0.9502193100280573,1.0354703135886566e-15,30,3.339421033859253
7,0.9426028921023359,7.247573433201734e-15,0.9694093395586225,1.2764428678037559e-18,30,3.350585460662842
8,0.9199110122358174,6.66958141512637e-13,0.9357986227770415,3.3337473173314824e-14,30,3.059039831161499
9,0.9706340378197997,7.258496985668622e-19,0.9317801832401446,7.605961699775796e-14,30,3.2809064388275146
10,0.9208008898776417,5.735790364728601e-13,0.9425428885782023,7.351624750875543e-15,30,3.5031752586364746
11,0.9701890989988877,8.934927853671229e-19,0.9701319996801407,9.174306244959301e-19,30,3.141054630279541
12,0.9385984427141268,1.8172297078097955e-14,0.9970089439894106,1.1029657198412749e-32,30,3.339700698852539
13,0.9172413793103448,1.0379337544736607e-12,0.9367002132172,2.7503462354938408e-14,30,3.805148124694824
14,0.9323692992213571,6.761154908116078e-14,0.9655241042702708,6.646449880141303e-18,30,3.638669967651367
15,0.8985539488320357,1.59500286577605e-11,0.9194723855198842,7.179744588994026e-13,30,3.5612757205963135
16,0.9296996662958843,1.1432886274863076e-13,0.9518130555648953,6.631137606159061e-16,30,3.9213781356811523
17,0.9826473859844269,4.944445418518743e-22,0.9915464796288213,2.2136874256645347e-26,30,3.5918874740600586
18,0.9612903225806452,3.277237201194181e-17,0.9758568176719019,4.831428129276818e-20,30,2.9101078510284424
19,0.9484926079384266,1.6512222197563315e-15,0.9553504138331772,2.330962781117953e-16,30,2.503497838973999
