query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.027317285537719727,0.00011603037273744121,0.0021357901860028505,3,1
1,160,0.03172135353088379,-0.0004746119084302336,0.0009530605748295784,3,1
2,160,0.05958890914916992,-0.0004265308380126953,0.0013863168423995376,3,1
3,160,0.04327225685119629,0.0006859302520751953,0.00043009655200876296,3,1
4,160,0.032540321350097656,-0.0008122126455418766,0.001309327082708478,3,1
5,160,0.04876112937927246,0.0004909833078272641,0.002908721100538969,3,1
6,160,0.04429221153259277,0.0005039374227635562,0.0010621639667078853,3,1
7,160,0.051926612854003906,-0.00037272772169671953,0.0006442402955144644,3,1
8,160,0.03943061828613281,0.0005567868356592953,0.0012140152975916862,3,1
9,160,0.045230865478515625,-0.0001049041748046875,0.0010421836050227284,3,1
10,160,0.047940969467163086,0.0007002353668212891,0.0016618960071355104,3,1
11,160,0.07171034812927246,-0.001243034959770739,0.0008402179810218513,3,1
12,160,0.07466602325439453,-0.00032917657517828047,0.00046030402882024646,3,1
13,160,0.030530929565429688,-0.00016554196190554649,0.000516196945682168,3,1
14,160,0.023453712463378906,-0.00021417935204226524,0.0010941022774204612,3,1
15,160,0.021716833114624023,0.00014138221740722656,0.0010631703771650791,3,1
16,160,0.023282289505004883,-0.0005389849538914859,0.0009055195259861648,3,1
17,160,0.26720595359802246,-0.001227776170708239,0.0032271412201225758,3,1
18,160,0.03029465675354004,-0.0002434253692626953,0.0009020824218168855,3,1
19,160,0.03257155418395996,-0.00029397010803222656,0.0012830093037337065,3,1
