query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.02720475196838379,0.00039791822200641036,0.0010119681246578693,100,1
1,160,0.028413772583007812,0.00048235178110189736,0.001080977264791727,100,1
2,160,0.05408287048339844,0.0009125757496803999,0.0012658429332077503,100,1
3,160,0.03506040573120117,0.000655217154417187,0.0010274730157107115,100,1
4,160,0.03169727325439453,2.6748180971480906e-05,0.0009581423946656287,100,1
5,160,0.0467679500579834,0.0010052371071651578,0.0013791824458166957,100,1
6,160,0.041689395904541016,0.0002339530037716031,0.0011783057125285268,100,1
7,160,0.0483708381652832,0.0003938317240681499,0.0010763363679870963,100,1
8,160,0.03299403190612793,0.000294992933049798,0.0009477218263782561,100,1
9,160,0.03848099708557129,0.0006862616282887757,0.0010788579238578677,100,1
10,160,0.04539132118225098,0.0005143642192706466,0.001050674356520176,100,1
11,160,0.05605959892272949,-0.00018878937407862395,0.0011346385581418872,100,1
12,160,0.0669245719909668,0.00021996736177243292,0.0029898311477154493,100,1
13,160,0.02607440948486328,-6.84142141835764e-05,0.0009868098422884941,100,1
14,160,0.023424625396728516,0.001344547257758677,0.0011774493614211679,100,1
15,160,0.022856473922729492,0.00023445129045285285,0.0009331341134384274,100,1
16,160,0.023023605346679688,-0.0002769041166175157,0.0010559008223935962,100,1
17,160,0.27570056915283203,0.00029827357502654195,0.001977958483621478,100,1
18,160,0.034781694412231445,0.0003806781896855682,0.0009557705488987267,100,1
19,160,0.04895949363708496,0.0004905462265014648,0.0012662872904911637,100,1
