subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,160,3.400447368621826,3.399968385696411,-0.00047898292541503906
0,1,160,3.5397024154663086,3.5391218662261963,-0.0005805492401123047
0,2,160,3.4472615718841553,3.445911169052124,-0.00135040283203125
0,3,160,3.013218641281128,3.0138869285583496,0.0006682872772216797
0,4,160,2.8314590454101562,2.8307998180389404,-0.0006592273712158203
0,5,160,3.3697822093963623,3.3704679012298584,0.0006856918334960938
0,6,160,3.325374126434326,3.325664758682251,0.0002906322479248047
0,7,160,3.3482558727264404,3.348125457763672,-0.0001304149627685547
0,8,160,3.0786399841308594,3.078800678253174,0.00016069412231445312
0,9,160,3.2830843925476074,3.2835121154785156,0.0004277229309082031
0,10,160,3.4933371543884277,3.492307186126709,-0.00102996826171875
0,11,160,3.149472713470459,3.1495718955993652,9.918212890625e-05
0,12,160,3.3460118770599365,3.3475124835968018,0.0015006065368652344
0,13,160,3.831847906112671,3.8309078216552734,-0.0009400844573974609
0,14,160,3.6373698711395264,3.6379826068878174,0.0006127357482910156
0,15,160,3.559828519821167,3.5598251819610596,-3.337860107421875e-06
0,16,160,3.9232115745544434,3.9234321117401123,0.0002205371856689453
0,17,160,3.571119546890259,3.572960615158081,0.0018410682678222656
0,18,160,2.909066677093506,2.9093639850616455,0.00029730796813964844
0,19,160,2.5112643241882324,2.5124895572662354,0.0012252330780029297
1,0,160,3.400447368621826,3.4002349376678467,-0.0002124309539794922
1,1,160,3.5397024154663086,3.540128469467163,0.0004260540008544922
1,2,160,3.4472615718841553,3.4484477043151855,0.0011861324310302734
1,3,160,3.013218641281128,3.012563467025757,-0.0006551742553710938
1,4,160,2.8314590454101562,2.8307955265045166,-0.0006635189056396484
1,5,160,3.3697822093963623,3.3700802326202393,0.0002980232238769531
1,6,160,3.325374126434326,3.3250679969787598,-0.00030612945556640625
1,7,160,3.3482558727264404,3.348177909851074,-7.796287536621094e-05
1,8,160,3.0786399841308594,3.0788700580596924,0.0002300739288330078
1,9,160,3.2830843925476074,3.283874750137329,0.0007903575897216797
1,10,160,3.4933371543884277,3.494904041290283,0.0015668869018554688
1,11,160,3.149472713470459,3.1491520404815674,-0.00032067298889160156
1,12,160,3.3460118770599365,3.3534767627716064,0.007464885711669922
1,13,160,3.831847906112671,3.8320858478546143,0.00023794174194335938
1,14,160,3.6373698711395264,3.6379778385162354,0.0006079673767089844
1,15,160,3.559828519821167,3.559149742126465,-0.0006787776947021484
1,16,160,3.9232115745544434,3.9242215156555176,0.0010099411010742188
1,17,160,3.571119546890259,3.5685760974884033,-0.0025434494018554688
1,18,160,2.909066677093506,2.90960431098938,0.0005376338958740234
1,19,160,2.5112643241882324,2.511692762374878,0.0004284381866455078
2,0,160,3.400447368621826,3.3994028568267822,-0.0010445117950439453
2,1,160,3.5397024154663086,3.5389623641967773,-0.00074005126953125
2,2,160,3.4472615718841553,3.447232246398926,-2.9325485229492188e-05
2,3,160,3.013218641281128,3.013075828552246,-0.00014281272888183594
2,4,160,2.8314590454101562,2.831605911254883,0.0001468658447265625
2,5,160,3.3697822093963623,3.3708338737487793,0.0010516643524169922
2,6,160,3.325374126434326,3.326805591583252,0.0014314651489257812
2,7,160,3.3482558727264404,3.3486762046813965,0.0004203319549560547
2,8,160,3.0786399841308594,3.0794332027435303,0.0007932186126708984
2,9,160,3.2830843925476074,3.2845876216888428,0.0015032291412353516
2,10,160,3.4933371543884277,3.492522954940796,-0.0008141994476318359
2,11,160,3.149472713470459,3.152055025100708,0.0025823116302490234
2,12,160,3.3460118770599365,3.346266984939575,0.0002551078796386719
2,13,160,3.831847906112671,3.8325695991516113,0.0007216930389404297
2,14,160,3.6373698711395264,3.639101505279541,0.0017316341400146484
2,15,160,3.559828519821167,3.560361623764038,0.0005331039428710938
2,16,160,3.9232115745544434,3.923696756362915,0.0004851818084716797
2,17,160,3.571119546890259,3.571303606033325,0.00018405914306640625
2,18,160,2.909066677093506,2.9095957279205322,0.0005290508270263672
2,19,160,2.5112643241882324,2.511054515838623,-0.000209808349609375
3,0,160,3.400447368621826,3.3993327617645264,-0.0011146068572998047
3,1,160,3.5397024154663086,3.5408730506896973,0.0011706352233886719
3,2,160,3.4472615718841553,3.4487271308898926,0.0014655590057373047
3,3,160,3.013218641281128,3.012937307357788,-0.00028133392333984375
3,4,160,2.8314590454101562,2.831897497177124,0.00043845176696777344
3,5,160,3.3697822093963623,3.368910551071167,-0.0008716583251953125
3,6,160,3.325374126434326,3.326439142227173,0.0010650157928466797
3,7,160,3.3482558727264404,3.3486382961273193,0.00038242340087890625
3,8,160,3.0786399841308594,3.079138994216919,0.0004990100860595703
3,9,160,3.2830843925476074,3.2828586101531982,-0.0002257823944091797
3,10,160,3.4933371543884277,3.4929845333099365,-0.00035262107849121094
3,11,160,3.149472713470459,3.150233030319214,0.0007603168487548828
3,12,160,3.3460118770599365,3.3447210788726807,-0.0012907981872558594
3,13,160,3.831847906112671,3.831547737121582,-0.0003001689910888672
3,14,160,3.6373698711395264,3.6392734050750732,0.001903533935546875
