query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.7818181818181819,0.004473162252783043,0.8778819942485643,0.00038036853292395964,11,3.4004483222961426
1,0.8090909090909091,0.002558580199713917,0.9107740792655791,9.731872446898745e-05,11,3.5396807193756104
2,0.9818181818181818,8.403066433955256e-08,0.9602759507271073,2.743269866479308e-06,11,3.4472498893737793
3,0.8000000000000002,0.0031104283103858456,0.8549764227690484,0.0007964936733190354,11,3.0131988525390625
4,0.8090909090909091,0.002558580199713917,0.8099743806112514,0.0025091409979331324,11,2.831467628479004
5,0.24545454545454545,0.4669223669820161,0.647919632163686,0.031100705093921023,11,3.3697924613952637
6,0.7090909090909092,0.014552051953727713,0.77823797099094,0.004786301921296413,11,3.325371742248535
7,0.7636363636363637,0.006233059747904754,0.8716110649436086,0.00047204151934331404,11,3.3482508659362793
8,0.7454545454545456,0.008454728885061567,0.8683184050013212,0.0005264018559120788,11,3.0786430835723877
9,0.7454545454545456,0.008454728885061567,0.7883328567435237,0.003942507561199928,11,3.2830774784088135
10,0.9181818181818183,6.661451941355569e-05,0.9104836532702086,9.870985089016843e-05,11,3.4933414459228516
11,0.8909090909090911,0.00023345817037873182,0.9467118478471821,1.0087466378336907e-05,11,3.1494791507720947
12,0.881818181818182,0.0003301688021839006,0.9148376215373268,7.938042513569264e-05,11,3.346010446548462
13,0.7272727272727273,0.011204967253592074,0.6900014185358239,0.01878405994018893,11,3.831855535507202
14,0.8545454545454546,0.0008066741521648989,0.8587067317237598,0.0007123690893314552,11,3.637368679046631
15,0.8727272727272729,0.00045461505140964023,0.8796915342685934,0.00035662115423814726,11,3.5598268508911133
16,0.8545454545454546,0.0008066741521648989,0.9443086652450706,1.2259226261737081e-05,11,3.9232234954833984
17,0.9727272727272729,5.142177049049183e-07,0.9937825238172203,6.836083914288267e-10,11,3.57110333442688
18,0.790909090909091,0.003746082953397407,0.8606826048492346,0.0006706234206948545,11,2.909088134765625
19,0.8636363636363636,0.0006116938500931701,0.8650967810223281,0.0005840462834323668,11,2.5112669467926025
