run_id,sweep_group,status,priority,selects_lr_for,node_in_charge,node_checkin_date,model,arch_mod,optimizer,n_docs,batch_size,grad_accum_steps,num_epochs,steps,warmup,logit_scale,weight_decay,max_grad_norm,eps_root,seed,lr,train_loss,heldout_loss,run_dir,notes
tune_adamw_16k_anchor_lr0.0001,tune_adamw_16k_anchor,measured,1,sm_adamw_eps1e17_16k_bs256,,,gpt2,none,adamw,16000,256,4,2,125,0.25,1.0,0.01,,1e-17,42,0.0001,,3.2592,/mnt/ssd-2/lucia/s16k_lrsweep/s16k_adamw_lr0.0001,"Anchor sweep, measured 2026-08-20; untrained gpt2 heldout = 3.4981. 2e-4 selected (interior optimum for both optimizers)."
tune_adamw_16k_anchor_lr0.0002,tune_adamw_16k_anchor,measured,1,sm_adamw_eps1e17_16k_bs256,,,gpt2,none,adamw,16000,256,4,2,125,0.25,1.0,0.01,,1e-17,42,0.0002,,3.2572,/mnt/ssd-2/lucia/s16k_lrsweep/s16k_adamw_lr0.0002,"Anchor sweep, measured 2026-08-20; untrained gpt2 heldout = 3.4981. 2e-4 selected (interior optimum for both optimizers)."
tune_adamw_16k_anchor_lr0.0004,tune_adamw_16k_anchor,measured,1,sm_adamw_eps1e17_16k_bs256,,,gpt2,none,adamw,16000,256,4,2,125,0.25,1.0,0.01,,1e-17,42,0.0004,,3.267,/mnt/ssd-2/lucia/s16k_lrsweep/s16k_adamw_lr0.0004,"Anchor sweep, measured 2026-08-20; untrained gpt2 heldout = 3.4981. 2e-4 selected (interior optimum for both optimizers)."
tune_adamw_16k_anchor_lr0.0008,tune_adamw_16k_anchor,measured,1,sm_adamw_eps1e17_16k_bs256,,,gpt2,none,adamw,16000,256,4,2,125,0.25,1.0,0.01,,1e-17,42,0.0008,,3.299,/mnt/ssd-2/lucia/s16k_lrsweep/s16k_adamw_lr0.0008,"Anchor sweep, measured 2026-08-20; untrained gpt2 heldout = 3.4981. 2e-4 selected (interior optimum for both optimizers)."
tune_adamw_16k_anchor_lr0.002,tune_adamw_16k_anchor,measured,1,sm_adamw_eps1e17_16k_bs256,,,gpt2,none,adamw,16000,256,4,2,125,0.25,1.0,0.01,,1e-17,42,0.002,,3.3974,/mnt/ssd-2/lucia/s16k_lrsweep/s16k_adamw_lr0.002,"Anchor sweep, measured 2026-08-20; untrained gpt2 heldout = 3.4981. 2e-4 selected (interior optimum for both optimizers)."
tune_adamw_32k_lr0.0001,tune_adamw_32k,measured,1,plan_adam_eps1e17_32k_bs256,,,gpt2,none,adamw,32000,256,16,2,250,0.25,1.0,0.01,,1e-17,42,0.0001,,3.2388,/mnt/ssd-2/lucia/paper_runs/tuning/tune_adamw_32k_lr0.0001_s42,
tune_adamw_32k_lr0.0002,tune_adamw_32k,measured,1,plan_adam_eps1e17_32k_bs256,,,gpt2,none,adamw,32000,256,16,2,250,0.25,1.0,0.01,,1e-17,42,0.0002,,3.2365,/mnt/ssd-2/lucia/paper_runs/tuning/tune_adamw_32k_lr0.0002_s42,
tune_adamw_4k_lr5e-05,tune_adamw_4k,measured,1,plan_adam_eps1e17_4k_bs256,,,gpt2,none,adamw,4000,256,16,2,32,0.25,1.0,0.01,,1e-17,42,5e-05,,3.3236,/mnt/ssd-2/lucia/paper_runs/tuning/tune_adamw_4k_lr5e-05_s42,"Extension point. Group complete: interior optimum at 1e-4 (3.3149) — selected for plan_adam_eps1e17_4k_bs256 (gap to 2e-4 is 0.0029, above the tie threshold, so the tuned value replaces the center)."
tune_adamw_4k_lr0.0001,tune_adamw_4k,measured,1,plan_adam_eps1e17_4k_bs256,,,gpt2,none,adamw,4000,256,16,2,32,0.25,1.0,0.01,,1e-17,42,0.0001,,3.3149,/mnt/ssd-2/lucia/paper_runs/tuning/tune_adamw_4k_lr0.0001_s42,Endpoint winner of the 3-point grid; 5e-5 extension registered.
tune_adamw_4k_lr0.0002,tune_adamw_4k,measured,1,plan_adam_eps1e17_4k_bs256,,,gpt2,none,adamw,4000,256,16,2,32,0.25,1.0,0.01,,1e-17,42,0.0002,,3.3178,/mnt/ssd-2/lucia/paper_runs/tuning/tune_adamw_4k_lr0.0002_s42,
